participant_id,puzzle_id,window_start,attention_label,attention_confidence,action_label,action_confidence,performance_label,performance_confidence,temporal_label,temporal_confidence,disagreement_type,disagreement_intensity,dominant_tension,n_contradictions,n_constructive,confidence_spread
9,Spoke Puzzle: Pasta in Sauce,955.0032323,focused,0.492,inactive,0.399,stalled,0.7,looping,0.85,contradictory,0.446,focused_but_idle,3,1,0.176
9,Spoke Puzzle: Pasta in Sauce,960.0152009,focused,0.716,inactive,0.643,stalled,0.7,looping,0.85,contradictory,0.679,focused_but_idle,1,1,0.076
9,Spoke Puzzle: Pasta in Sauce,965.0083244,focused,0.762,hesitant,0.65,progressing,0.767,transient,0.4,constructive,0.236,focused_progress,0,1,0.149
9,Spoke Puzzle: Pasta in Sauce,970.0097365,focused,0.477,inactive,0.735,stalled,0.7,transient,0.4,contradictory,0.606,focused_but_idle,1,2,0.143
9,Spoke Puzzle: Pasta in Sauce,975.0194917,focused,0.5,hesitant,0.5,progressing,0.633,transient,0.4,constructive,0.433,focused_progress,0,2,0.083
9,Transition,980.004972,focused,0.393,hesitant,0.5,progressing,0.633,transient,0.4,constructive,0.481,pop_confirms_progress,0,2,0.097
9,Transition,985.0200139,searching,0.662,inactive,0.625,stalled,0.7,transient,0.4,contradictory,0.643,scanning_but_passive,2,2,0.117
9,Transition,990.0036955,focused,0.353,inactive,0.646,stalled,0.7,transient,0.4,contradictory,0.499,focused_but_idle,1,2,0.15
9,Transition,995.0024403,searching,0.205,inactive,0.694,stalled,0.7,looping,0.65,contradictory,0.449,scanning_but_passive,2,2,0.207
9,Transition,1000.0048865,focused,0.343,inactive,0.72,stalled,0.7,looping,0.65,contradictory,0.531,focused_but_idle,1,2,0.152
9,Transition,1005.0185432,searching,0.167,hesitant,0.65,progressing,0.767,transient,0.4,contradictory,0.467,scattered_but_progressing,2,0,0.232
9,Transition,1010.0067056,searching,0.95,hesitant,0.85,progressing,0.633,transient,0.4,contradictory,0.791,scattered_but_progressing,1,1,0.212
9,Transition,1015.0118784,searching,0.884,hesitant,0.65,progressing,0.9,persistent,0.75,contradictory,0.892,scattered_but_progressing,1,1,0.102
9,Transition,1020.0049897,searching,0.171,inactive,0.768,stalled,0.7,transient,0.4,contradictory,0.47,scanning_but_passive,2,2,0.24
9,Transition,1025.0135581,searching,0.95,hesitant,0.85,progressing,0.633,transient,0.4,contradictory,0.791,scattered_but_progressing,1,1,0.212
9,Transition,1030.0111779,searching,0.95,active,0.508,progressing,0.9,transient,0.4,contradictory,0.925,scattered_but_progressing,1,2,0.239
9,Transition,1035.0132824,searching,0.95,hesitant,0.488,progressing,0.9,persistent,0.75,contradictory,0.925,scattered_but_progressing,1,1,0.18
9,Transition,1040.0112799,searching,0.95,hesitant,0.85,progressing,0.617,persistent,0.75,contradictory,0.783,scattered_but_progressing,1,1,0.123
9,Transition,1045.0090769,searching,0.88,hesitant,0.85,progressing,0.735,persistent,0.75,contradictory,0.807,scattered_but_progressing,1,1,0.062
9,Transition,1050.0031447,focused,0.233,inactive,0.856,stalled,0.734,transient,0.4,contradictory,0.544,focused_but_idle,1,2,0.25
9,Transition,1055.0061932,searching,0.905,hesitant,0.85,progressing,0.703,transient,0.4,contradictory,0.804,scattered_but_progressing,1,1,0.196
9,Transition,1060.0154508,searching,0.57,inactive,0.863,stalled,0.757,transient,0.4,contradictory,0.716,scanning_but_passive,2,2,0.177
9,Transition,1065.0128904,searching,0.95,inactive,0.751,stalled,0.768,transient,0.4,contradictory,0.851,scanning_but_passive,2,2,0.199
9,Transition,1070.0077982,searching,0.489,inactive,0.899,stalled,0.78,looping,0.85,contradictory,0.694,scanning_but_passive,2,2,0.159
9,Transition,1075.0037842,searching,0.176,hesitant,0.7,progressing,0.506,transient,0.4,contradictory,0.341,scattered_but_progressing,1,1,0.189
9,Transition,1080.0009798,searching,0.195,inactive,0.673,stalled,0.802,transient,0.4,contradictory,0.434,scanning_but_passive,1,1,0.236
9,Transition,1085.011652,searching,0.898,hesitant,0.7,progressing,0.356,transient,0.4,contradictory,0.627,scattered_but_progressing,1,1,0.222
9,Spoke Puzzle: Water Amount,1090.0237645,searching,0.851,inactive,0.899,stalled,0.825,transient,0.4,contradictory,0.912,pop_says_solving_but_stalled,2,1,0.2
9,Spoke Puzzle: Water Amount,1095.0090245,searching,0.95,inactive,0.397,stalled,0.7,transient,0.4,contradictory,0.673,scanning_but_passive,2,2,0.231
9,Spoke Puzzle: Water Amount,1100.0034452,searching,0.95,inactive,0.565,stalled,0.7,looping,0.85,contradictory,0.757,scanning_but_passive,2,2,0.146
9,Spoke Puzzle: Water Amount,1105.0037449,searching,0.931,inactive,0.64,stalled,0.7,looping,0.85,contradictory,0.786,scanning_but_passive,2,2,0.116
9,Spoke Puzzle: Water Amount,1110.0161771,searching,0.825,inactive,0.655,stalled,0.7,looping,0.85,contradictory,0.74,scanning_but_passive,2,2,0.082
9,Spoke Puzzle: Water Amount,1115.0146447,searching,0.95,inactive,0.579,stalled,0.7,looping,0.85,contradictory,0.764,scanning_but_passive,2,2,0.142
9,Spoke Puzzle: Water Amount,1120.0047828,searching,0.95,inactive,0.645,stalled,0.7,looping,0.85,contradictory,0.797,scanning_but_passive,2,2,0.121
9,Spoke Puzzle: Water Amount,1125.0148669,searching,0.95,hesitant,0.7,progressing,0.767,transient,0.4,contradictory,0.859,scattered_but_progressing,1,1,0.198
9,Spoke Puzzle: Water Amount,1130.0083746,searching,0.759,hesitant,0.488,progressing,0.9,transient,0.4,contradictory,0.83,scattered_but_progressing,1,1,0.202
9,Spoke Puzzle: Water Amount,1135.0002697,locked,0.598,inactive,0.756,stalled,0.7,transient,0.4,constructive,0.272,passive_and_stuck,0,3,0.136
9,Spoke Puzzle: Water Amount,1140.0128644,locked,0.665,inactive,0.812,stalled,0.7,transient,0.4,constructive,0.244,passive_and_stuck,0,3,0.151
9,Spoke Puzzle: Water Amount,1145.0100167,locked,0.665,inactive,0.837,stalled,0.7,looping,0.85,constructive,0.232,passive_and_stuck,0,3,0.082
9,Spoke Puzzle: Water Amount,1150.0081057,locked,0.665,inactive,0.85,stalled,0.703,looping,0.85,constructive,0.224,passive_and_stuck,0,3,0.084
9,Spoke Puzzle: Water Amount,1155.0053666,locked,0.591,inactive,0.852,stalled,0.715,looping,0.85,constructive,0.217,passive_and_stuck,0,3,0.108
9,Spoke Puzzle: Water Amount,1160.0085161,searching,0.95,hesitant,0.65,progressing,0.864,transient,0.4,contradictory,0.907,scattered_but_progressing,1,1,0.213
9,Spoke Puzzle: Water Amount,1165.0002624,searching,0.95,hesitant,0.488,progressing,0.848,transient,0.4,contradictory,0.899,scattered_but_progressing,1,1,0.232
9,Spoke Puzzle: Water Amount,1170.0130859,searching,0.845,hesitant,0.85,progressing,0.699,persistent,0.75,contradictory,0.772,scattered_but_progressing,1,1,0.064
9,Spoke Puzzle: Water Amount,1175.0077397,searching,0.351,inactive,0.503,stalled,0.76,transient,0.4,contradictory,0.498,pop_says_exploring_but_inactive,2,2,0.158
9,Spoke Puzzle: Water Amount,1180.0051199,searching,0.802,hesitant,0.488,stalled,0.771,transient,0.4,constructive,0.283,pop_confirms_exploration,0,1,0.174
9,Spoke Puzzle: Water Amount,1185.0018169,locked,0.665,inactive,0.895,stalled,0.783,looping,0.65,constructive,0.161,passive_and_stuck,0,3,0.099
9,Spoke Puzzle: Water Amount,1190.0078683,searching,0.771,inactive,0.884,stalled,0.794,looping,0.65,contradictory,0.828,scanning_but_passive,2,2,0.083
9,Spoke Puzzle: Water Amount,1195.0125804,searching,0.95,inactive,0.786,stalled,0.805,looping,0.65,contradictory,0.868,scanning_but_passive,2,2,0.106
9,Spoke Puzzle: Water Amount,1200.004225,searching,0.935,active,0.49,progressing,0.737,transient,0.4,contradictory,0.836,scattered_but_progressing,1,2,0.21
9,Spoke Puzzle: Water Amount,1205.0141272,searching,0.95,hesitant,0.65,progressing,0.721,transient,0.4,contradictory,0.835,scattered_but_progressing,1,1,0.196
9,Spoke Puzzle: Water Amount,1210.0011736,searching,0.893,active,0.488,progressing,0.705,persistent,0.75,contradictory,0.799,scattered_but_progressing,1,2,0.145
9,Spoke Puzzle: Water Amount,1215.0154699,searching,0.799,inactive,0.546,stalled,0.851,transient,0.4,contradictory,0.673,scanning_but_passive,2,2,0.184
9,Spoke Puzzle: Water Amount,1220.011656,searching,0.826,inactive,0.544,stalled,0.862,transient,0.4,contradictory,0.685,scanning_but_passive,2,2,0.193
9,Spoke Puzzle: Water Amount,1225.0002885,searching,0.684,inactive,0.526,stalled,0.874,looping,0.85,contradictory,0.609,pop_says_exploring_but_inactive,2,2,0.14
9,Spoke Puzzle: Water Amount,1230.0129602,focused,0.383,inactive,0.56,stalled,0.885,looping,0.65,contradictory,0.573,pop_says_exploring_but_inactive,3,1,0.181
9,Spoke Puzzle: Water Amount,1235.0060815,searching,0.829,inactive,0.535,stalled,0.896,looping,0.65,contradictory,0.682,scanning_but_passive,2,2,0.143
9,Spoke Puzzle: Water Amount,1240.0010757,searching,0.803,inactive,0.769,stalled,0.908,looping,0.65,contradictory,0.786,scanning_but_passive,2,2,0.092
9,Spoke Puzzle: Water Amount,1245.0007748,searching,0.939,hesitant,0.85,stalled,0.389,looping,0.85,constructive,0.252,pop_confirms_exploration,0,1,0.216
9,Spoke Puzzle: Water Amount,1250.0043775,searching,0.685,inactive,0.889,stalled,0.93,looping,0.85,contradictory,0.787,scanning_but_passive,2,2,0.093
9,Spoke Puzzle: Water Amount,1255.0096528,searching,0.95,inactive,0.852,stalled,0.942,looping,0.85,contradictory,0.901,scanning_but_passive,2,2,0.048
9,Spoke Puzzle: Water Amount,1260.0042481,searching,0.95,inactive,0.795,stalled,0.95,looping,0.85,contradictory,0.873,scanning_but_passive,2,2,0.067
9,Spoke Puzzle: Water Amount,1265.0131961,searching,0.95,hesitant,0.85,stalled,0.55,looping,0.85,constructive,0.236,pop_confirms_exploration,0,1,0.15
9,Spoke Puzzle: Water Amount,1270.0124682,searching,0.95,hesitant,0.488,stalled,0.413,looping,0.85,constructive,0.205,pop_confirms_exploration,0,1,0.229
9,Spoke Puzzle: Water Amount,1275.0047507,searching,0.819,hesitant,0.488,stalled,0.413,looping,0.85,constructive,0.402,pop_confirms_exploration,0,1,0.194
9,Spoke Puzzle: Water Amount,1280.0121459,searching,0.815,hesitant,0.488,stalled,0.413,looping,0.85,constructive,0.399,pop_confirms_exploration,0,1,0.193
9,Spoke Puzzle: Water Amount,1285.0146491,locked,0.665,inactive,0.95,stalled,0.95,looping,0.65,constructive,0.05,passive_and_stuck,0,3,0.146
9,Spoke Puzzle: Water Amount,1290.0120415,locked,0.665,inactive,0.95,stalled,0.95,looping,0.65,constructive,0.05,passive_and_stuck,0,3,0.146
