participant_id,window_start,expert_state,expert_action,expert_prompt_type,expert_content,expert_rule,expert_prompt_count,mapped_gaze_on_instruction,mapped_puzzle_interaction,mapped_object_in_hand,mapped_area_type,mapped_no_trigger_time
6,825.0245947,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,830.0
6,830.0022296,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,835.0
6,835.0037872,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.19,False,False,hub,840.0
6,840.000585,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,845.0
6,845.0092418,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.02,True,False,hub,850.0
6,850.005427,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.02,True,False,hub,855.0
6,855.0054154,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,False,False,hub,860.0
6,860.013541,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,865.0
6,865.0092011,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,False,False,hub,870.0
6,870.0091407,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,False,False,hub,875.0
6,875.0066973,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,880.0
6,880.0010463,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,2.86,True,False,hub,885.0
6,885.0121286,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,890.0
6,890.0013043,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.91,False,False,hub,895.0
6,895.0088566,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.76,True,False,hub,900.0
6,900.0101211,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.08,True,False,hub,905.0
6,905.0087602,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,1.15,True,False,hub,910.0
6,910.0012971,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.91,True,False,hub,915.0
6,915.0018892,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,False,False,hub,920.0
6,920.0010395,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.13,False,False,hub,925.0
6,925.0223405,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,930.0
6,930.0045504,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,935.0
6,935.0147796,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,1.19,True,False,hub,940.0
6,940.0001524,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.46,True,False,hub,945.0
6,945.0104596,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,3.52,True,False,hub,950.0
6,950.0096631,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.73,True,False,hub,955.0
6,955.0120902,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.29,False,False,hub,960.0
6,960.0008643,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,2.98,True,False,hub,965.0
6,965.0057833,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.98,True,False,hub,970.0
6,970.0026555,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.19,False,False,hub,975.0
6,975.0250634,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.43,True,True,hub,980.0
6,980.0068581,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.62,True,False,hub,985.0
6,985.0149874,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,990.0
6,990.0129002,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,995.0
6,995.0120834,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.82,True,False,hub,1000.0
6,1000.0104334,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.73,True,False,hub,1005.0
6,1005.0090478,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.61,False,False,hub,1010.0
6,1010.0137799,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.48,True,False,hub,1015.0
6,1015.0016738,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.66,True,False,hub,1020.0
6,1020.0115062,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.69,False,False,hub,1025.0
6,1025.0067172,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,1.57,False,False,hub,1030.0
6,1030.0131985,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.82,True,False,hub,1035.0
6,1035.0042547,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.33,True,True,hub,1040.0
6,1040.0077806,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.39,True,False,hub,1045.0
6,1045.0082407,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.0,True,False,hub,1050.0
6,1050.0077804,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,2.69,True,False,hub,1055.0
6,1055.0062986,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.21,True,False,hub,1060.0
6,1060.0054779,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,True,False,hub,1065.0
6,1065.0018973,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,2.19,True,False,hub,1070.0
6,1070.0240162,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.33,False,False,hub,1075.0
6,1075.0075689,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.32,False,False,hub,1080.0
6,1080.0054432,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.55,True,False,hub,1085.0
6,1085.0013261,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.62,False,False,hub,1090.0
6,1090.0127448,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.09,False,False,hub,1095.0
6,1095.0067239,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.7,False,False,hub,1100.0
6,1100.0229009,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.38,True,True,hub,1105.0
6,1105.0072624,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.66,False,False,hub,1110.0
